zip_code,life_exp,count
0,84.1,0
90001,78.54444444,462
90002,76.32727273,468
90003,76.02,436
90004,82.36666667,392
90005,80.59,394
90006,79.11176471,400
90007,78.59090909,422
90008,77.9,394
90010,81.43333333,393
90011,76.97826087,446
90012,81.8,432
90013,76.66666667,446
90014,78.15,436
90015,78.25555556,430
90016,77.08461538,391
90017,76.96666667,421
90018,77.44615385,398
90019,79.975,391
90020,79.23636364,392
90021,75.6,448
90022,80.875,496
90023,80.20833333,466
90024,79.13333333,384
90025,84.67272727,381
90026,81.84,412
90027,81.53636364,399
90028,80.06,396
90029,79.15882353,394
90031,82.51,443
90032,80.63888889,462
90033,79.15384615,462
90034,80.38461538,384
90035,83.87,388
90036,82.03333333,392
90037,77.8,428
90038,81.18333333,397
90039,81.98888889,413
90040,80.175,500
90041,82.3,428
90042,81.85714286,439
90043,76.57142857,399
90044,77.05,433
90045,81.86666667,384
90046,81.52857143,392
90047,75.71818182,420
90048,80.33333333,391
90049,84.78888889,380
90050,85.4,443
90056,82,389
90057,78.23333333,407
90058,79.525,464
90059,75.68571429,470
90061,76.8375,453
90062,77.9,410
90063,79.25384615,473
90064,83.88181818,382
90065,83.73,428
90066,82.03846154,380
90067,83.3,384
90068,83.93333333,392
90069,81.7,390
90072,81.7,443
90075,84.3,443
90077,86.2,383
90078,80.9,443
90082,81.1,443
90083,87,443
90089,78.1,443
90094,81,443
90201,80.13157895,497
90210,86.75714286,387
90211,84.7,389
90220,77.45714286,468
90221,77.86923077,483
90222,76.91666667,477
90224,77.5,443
90230,83.78333333,382
90232,81.16666667,387
90240,81.7,511
90241,79.54444444,514
90242,79.73333333,511
90245,82.7,377
90247,81.04,446
90248,80,454
90249,79.87142857,437
90250,78.8625,404
90251,79,443
90254,82.35,379
90255,78.55,477
90260,77.84,416
90262,79.08571429,487
90265,84.68333333,91
90266,85.21428571,376
90270,78.43333333,491
90272,83.7,375
90274,84.06,381
90275,84.68888889,401
90277,81.8,389
90278,81.44285714,392
90280,80.67619048,495
90290,83,365
90291,81.475,377
90292,81.38,377
90293,82.43333333,378
90295,81.9,443
90301,78.68888889,388
90302,77.75,396
90303,78.25,416
90304,77.65,391
90305,77.4,412
90308,76.4,443
90401,80.92,373
90402,85.25,375
90403,83.55,376
90404,81,378
90405,83.44,376
90409,81.8,443
90501,80.325,448
90502,82.13333333,454
90503,82.23333333,425
90504,81.91666667,439
90505,83.72857143,421
90508,79.7,443
90601,82.41428571,531
90602,79.8,528
90603,80.03333333,542
90604,80.9125,546
90605,82.28571429,528
90606,79.8,525
90607,82.2,443
90620,81.06666667,540
90621,80.46666667,545
90622,79.3,168
90623,82.875,537
90630,81.21,535
90631,81.3,554
90632,81.4,168
90633,79.1,168
90637,80.2,443
90638,82.5625,549
90639,80.9,549
90640,81.15384615,504
90650,79.91111111,519
90651,85.4,443
90660,80.76363636,517
90662,81.7,443
90670,81.06666667,522
90680,79.525,525
90701,85.4,539
90702,80.6,443
90703,82.57692308,539
90704,79.5,1
90706,78.18125,512
90707,77.7,443
90710,80.24,447
90712,79.325,509
90713,80.08888889,528
90715,78.15,534
90716,80.35,533
90717,80.56,441
90720,82.76666667,524
90721,83,168
90723,78.24444444,502
90731,78.90666667,405
90732,79.825,394
90734,81.3,443
90740,81.96666667,490
90744,78.95333333,451
90745,81.08888889,456
90746,79.81666667,460
90749,81,443
90755,75.73333333,494
90802,75.9,478
90803,81.62,471
90804,77.63636364,493
90805,77.30526316,487
90806,77.34444444,482
90807,78.65,486
90808,80.84,521
90810,79.04,461
90813,76.44,480
90814,81.375,484
90815,81.50909091,510
90832,78.3,443
