,Zip Code,Life Expectancy,Count
0,94002,82.55,409
1,94005,80.65,441
2,94010,82.655,401
3,94014,80.65,470
4,94015,81.34,411
5,94019,81.27000000000001,380
6,94020,81.695,88
7,94021,81.695,89
8,94022,83.905,160
9,94024,83.43,134
10,94025,83.22,445
11,94027,83.22,443
12,94028,83.905,196
13,94030,82.10499999999999,406
14,94037,79.85499999999999,379
15,94038,79.85499999999999,377
16,94040,82.25,142
17,94041,81.265,143
18,94043,82.53,157
19,94044,79.85499999999999,385
20,94060,81.695,83
21,94061,81.675,437
22,94062,82.17,415
23,94063,79.11333333333334,441
24,94065,81.60000000000001,410
25,94066,80.58,402
26,94070,82.99000000000001,409
27,94074,81.695,101
28,94080,80.185,413
29,94085,82.91,126
30,94086,81.705,130
31,94087,82.855,129
32,94089,80.4,126
33,94102,73.57,700
34,94103,73.125,706
35,94104,78.87,693
36,94105,78.87,697
37,94107,80.45500000000001,709
38,94108,81.72,693
39,94109,79.75999999999999,693
40,94110,79.11,709
41,94111,78.87,690
42,94112,80.12,609
43,94114,80.09,705
44,94115,78.63499999999999,697
45,94116,79.805,573
46,94117,79.88499999999999,700
47,94118,82.83500000000001,691
48,94121,82.375,636
49,94122,82.505,641
50,94123,82.595,690
51,94124,75.34,683
52,94127,83.61,658
53,94128,80.185,405
54,94129,82.595,674
55,94131,82.205,707
56,94132,81.67,514
57,94133,82.075,688
58,94134,79.94999999999999,646
59,94158,82.54,646
60,94301,83.505,452
61,94303,81.06,445
62,94304,83.54,306
63,94305,83.07,437
64,94306,83.68,360
65,94401,81.50999999999999,396
66,94402,81.69000000000001,396
67,94403,81.475,404
68,94404,83.50999999999999,407
69,94501,79.74000000000001,419
70,94502,83.25999999999999,421
71,94503,79.72,363
72,94505,84.76,363
73,94506,83.245,355
74,94507,82.395,377
75,94508,82.99000000000001,111
76,94509,76.845,42
77,94510,79.228,393
78,94511,76.858,47
79,94512,77.62,46
80,94513,78.54,42
81,94514,79.7125,27
82,94515,82.99000000000001,115
83,94516,86.38,414
84,94517,81.475,247
85,94518,79.86000000000001,366
86,94519,78.81,357
87,94520,76.965,366
88,94521,79.13333333333334,340
89,94523,79.715,374
90,94525,78.77000000000001,393
91,94526,82.275,400
92,94528,85.85,383
93,94530,82.255,371
94,94531,79.02,41
95,94533,78.52,74
96,94534,82.63,82
97,94535,78.74000000000001,61
98,94536,80.91,399
99,94538,79.67500000000001,204
100,94539,83.47,112
101,94541,77.275,422
102,94542,79.35499999999999,427
103,94544,78.25,425
104,94545,78.06,427
105,94546,79.85499999999999,419
106,94547,80.955,380
107,94548,81.09,41
108,94549,82.57,367
109,94550,79.975,96
110,94551,81.74,387
111,94552,82.375,426
112,94553,78.77000000000001,389
113,94555,82.07,419
114,94556,83.08,403
115,94558,78.11,117
116,94559,80.09,106
117,94560,81.015,413
118,94561,76.9325,46
119,94563,84.13,379
120,94564,78.67500000000001,375
121,94565,76.588,43
122,94566,81.755,141
123,94567,82.99000000000001,95
124,94568,80.69999999999999,420
125,94569,78.77000000000001,396
126,94571,76.41250000000001,49
127,94572,80.57666666666667,386
128,94573,80.07,130
129,94574,82.99000000000001,125
130,94575,85.14,414
131,94576,82.99000000000001,120
132,94577,79.365,420
133,94578,78.405,415
134,94579,80.015,419
135,94580,79.615,423
136,94582,85.64,423
137,94583,81.94,417
138,94585,77.39000000000001,76
139,94586,79.975,117
140,94587,80.81,423
141,94588,81.19,328
142,94589,77.57499999999999,378
143,94590,75.08,388
144,94591,79.035,394
145,94592,75.08,394
146,94595,83.66,364
147,94596,82.275,367
148,94597,83.81,414
149,94598,82.69,366
150,94599,78.43666666666667,124
151,94601,76.895,420
152,94602,79.31,416
153,94603,72.805,419
154,94605,75.42,418
155,94606,77.945,418
156,94607,74.34666666666666,407
157,94608,75.205,402
158,94609,75.235,403
159,94610,80.36500000000001,410
160,94611,82.7,403
161,94612,76.105,410
162,94613,80.31,415
163,94618,82.33,398
164,94619,78.97,414
165,94621,73.0,418
166,94702,78.975,384
167,94703,79.43,388
168,94704,81.435,388
169,94705,82.59,396
170,94706,82.005,370
171,94707,83.345,370
172,94708,84.7,370
173,94709,83.38499999999999,372
174,94710,78.975,373
175,94720,81.19,389
176,94801,75.46,368
177,94803,78.3,372
178,94804,75.89500000000001,368
179,94805,79.72,368
180,94806,77.03999999999999,373
181,94850,77.93,414
182,94901,81.59,365
183,94903,81.33,378
184,94904,82.98,366
185,94920,83.9,358
186,94922,81.36500000000001,76
187,94923,81.36500000000001,50
188,94924,81.73,337
189,94925,81.345,362
190,94928,78.645,114
191,94929,81.36500000000001,59
192,94930,82.325,365
193,94931,79.945,113
194,94933,82.325,359
195,94937,81.73,47
196,94938,82.325,359
197,94939,80.88666666666667,365
198,94940,81.73,58
199,94941,82.285,353
200,94945,80.675,420
201,94946,81.73,375
202,94947,80.655,416
203,94949,81.62,408
204,94950,81.73,345
205,94951,79.945,112
206,94952,78.92333333333333,110
207,94954,80.36500000000001,118
208,94956,80.94333333333334,162
209,94957,83.36,385
210,94960,82.09333333333332,365
211,94963,81.10666666666667,369
212,94964,81.36500000000001,364
213,94965,81.17500000000001,371
214,94970,81.73,350
215,94971,81.36500000000001,85
216,94972,81.36500000000001,91
217,94973,82.325,368
218,95002,78.9,112
219,95006,80.36,92
220,95008,80.66999999999999,107
221,95013,82.43,78
222,95014,83.515,114
223,95020,79.8,49
224,95023,78.53,24
225,95030,79.255,95
226,95032,82.82,99
227,95033,78.50333333333333,96
228,95035,82.47,101
229,95037,80.89,66
230,95046,79.8,59
231,95050,80.02000000000001,111
232,95051,81.63499999999999,116
233,95053,80.84,78
234,95054,80.685,114
235,95070,82.92,104
236,95076,79.8,97
237,95110,79.27,117
238,95111,80.0,118
239,95112,79.715,116
240,95113,79.715,118
241,95116,80.60499999999999,118
242,95117,80.88,114
243,95118,80.765,109
244,95119,81.055,104
245,95120,82.885,101
246,95121,81.66499999999999,118
247,95122,80.405,118
248,95123,80.905,107
249,95124,80.66499999999999,101
250,95125,80.955,117
251,95126,80.41,114
252,95127,80.08500000000001,113
253,95128,78.39,116
254,95129,83.175,114
255,95130,81.09,108
256,95131,83.15,111
257,95132,81.155,103
258,95133,82.03999999999999,115
259,95134,78.9,104
260,95135,83.72999999999999,108
261,95136,80.505,115
262,95138,81.465,104
263,95139,81.055,101
264,95140,81.155,95
265,95148,82.06,117
266,95377,81.33,30
267,95391,84.76,30
268,95401,78.61,124
269,95403,79.47,121
270,95404,79.61,120
271,95405,79.975,119
272,95407,77.225,121
273,95409,80.94666666666667,115
274,95412,81.36500000000001,24
275,95419,79.57,85
276,95421,81.36500000000001,48
277,95425,78.91499999999999,67
278,95430,80.84666666666668,60
279,95431,74.445,120
280,95436,79.17333333333333,93
281,95439,79.47,119
282,95441,78.01333333333334,81
283,95442,74.445,121
284,95444,80.985,112
285,95446,76.19,75
286,95448,80.53999999999999,106
287,95450,80.84666666666668,45
288,95452,74.445,110
289,95461,82.34,94
290,95462,76.19,73
291,95465,81.36500000000001,77
292,95471,76.845,77
293,95472,80.985,113
294,95476,79.47666666666667,119
295,95480,79.81,20
296,95486,82.92,65
297,95492,79.94,107
298,95497,81.36500000000001,12
299,95616,79.2,58
300,95618,79.2,64
301,95620,79.34,42
302,95625,78.16499999999999,71
